Author,Title,Sourcetitle,Volume,Issue,Pagestart,Pageend
"Wharff, E.A.; Ginnis, K.B.; Ross, A.M.; Blood, E.",Predictors of psychiatric boarding in the pediatric emergency department: Implications for emergency care,Pediatric Emergency Care,27,6,483,489
"Prelow, H.M.; Bowman, M.A.; Weaver, S.R.",Predictors of psychosocial well-being in Urban African American and European American youth: The role of ecological factors,Journal of Youth and Adolescence,36,4,543,553
"McWhorter, W.P.; Boyd, G.M.; Mattson, M.E.",Predictors of quitting smoking: The NHANES I followup experience,Journal of Clinical Epidemiology,43,12,1399,1405
"Hyatt, A.; Mullin, B.; Hasler, V.; Madore, D.; Progovac, A.M.; Cook, B.L.; DeLisi, L.E.",Predictors of relapse and engagement in care one year after ending services in an urban safety net coordinated specialty care program for first episode psychosis,Schizophrenia Research,264,,140,146
"Loloi, J.; Wang, S.; Labagnara, K.; Plummer, M.; Douglass, L.; Watts, K.L.; Abraham, N.; Ohmann, E.","Predictors of reoperation after transurethral resection of the prostate in a diverse, urban academic centre",Journal of Clinical Urology,17,3,238,245
"Zhu, Y.; Sorkin, J.D.; Dwyer, D.; Groves, C.; Steinberger, E.K.","Predictors of repeated PSA testing among black and white men from the Maryland cancer survey, 2007",Preventing Chronic Disease,8,5,,
"Kendrick, K.; Withey, S.; Batson, A.; Wright, S.M.; O’Rourke, P.",Predictors of Satisfying and Impactful Clinical Shadowing Experiences for Underrepresented Minority High School Students Interested in Healthcare Careers,Journal of the National Medical Association,112,4,381,386
"Montano, G.T.; Witherell, R.; Mar, A.; Szpunar, S.M.; Anne, P.",Predictors of screening for hyperlipidemia in an urban pediatric tertiary care center,Clinical Pediatrics,54,3,244,248
"Presnall, L.; Suchting, R.; Hicks, G.; Hamilton, J.",Predictors of self-reported general health status in people experiencing homelessness with serious mental illness,Quality of Life Research,32,7,2003,2011
"Kupferwasser, D.; Flores, E.A.; Merino, P.; Tran, D.P.; Liu, H.; Huang, Y.; Bolaris, M.; Nguyen, M.H.; Gonzales, M.; da Silva, W.; Astorga-Cook, L.; Abueg, A.; Mason, H.; Miller, L.G.",Predictors of seropositivity to SARS-CoV-2 among employees at a large urban medical center,BMC Public Health,24,1,,
"Robinson, K.L.; Telljohann, S.K.; Price, J.H.",Predictors of sixth graders engaging in sexual intercourse,Journal of School Health,69,9,369,375
"Schletzbaum, M.; Wang, X.; Greenlee, R.; Piper, M.E.; Bartels, C.M.",Predictors of Smoking Cessation in Patients With Rheumatoid Arthritis in Two Cohorts: Most Predictive Health Care Factors,Arthritis Care and Research,73,5,633,639
"Yang, M.; Mehta, H.B.; Bhowmik, D.; Essien, E.J.; Abughosh, S.M.",Predictors of smoking cessation medication use among nonobese and obese smokers,Substance Use and Misuse,49,6,752,761
"Irby-Shasanmi, A.",Predictors of Subjective Life Expectancy Among African Americans,Research on Aging,35,3,322,347
"Lind, B.K.; McCarty, D.; Gu, Y.; Baker, R.; McConnell, K.",Predictors of substance use treatment initiation and engagement among adult and adolescent Medicaid recipients,Substance Abuse,40,3,285,291
"Al-Azhri, J.; Koru-Sengul, T.; Miao, F.; Saclarides, C.; Byrne, M.M.; Avisar, E.",Predictors of surgery types after neoadjuvant therapy for advanced stage breast cancer: Analysis from Florida population-based cancer registry (1996-2009),Breast Cancer: Basic and Clinical Research,,9,99,108
"Willis, A.W.; Schootman, M.; Kung, N.; Evanoff, B.A.; Perlmutter, J.S.; Racette, B.A.",Predictors of survival in patients with Parkinson disease,Archives of Neurology,69,5,601,607
"Friedman, S.R.; Tempalski, B.; Brady, J.E.; Friedman, J.J.; Cooper, H.L.F.; Flom, P.L.; McGrath, M.M.; Gostnell, K.; Jarlais, D.C.",Predictors of the degree of drug treatment coverage for injection drug users in 94 metropolitan areas in the United States of America,International Journal of Drug Policy,18,6,475,485
"Saah, A.J.; Múñoz, A.; Kuo, V.; Fox, R.; Kaslow, R.A.; Phair, J.P.; Rinaldo, C.R.; Detels, R.; Polk, B.F.",Predictors of the risk of development of Acquired Immunodeficiency Syndrome within 24 months among gay men seropositive for human immunodeficiency virus type 1: A report from the multicenter AIDS cohort study,American Journal of Epidemiology,135,10,1147,1155
"Iversen, M.D.; Chhabriyaz, R.K.; Shadick, N.",Predictors of the use of physical therapy services among patients with rheumatoid arthritis,Physical Therapy,91,1,65,76
"Patel, R.D.; Zhu, M.; Dave, P.; Agalliu, I.; Trinh, Q.-D.; Watts, K.L.","Predictors of Timely and Delayed Urological Evaluation Following Referral for Elevated Prostate-specific Antigen in a Diverse, Urban, High-risk Population",Urology Practice,10,4,353,359
"Battaglia, T.A.; Santana, M.C.; Bak, S.; Gokhale, M.; Lash, T.L.; Ash, A.S.; Kalish, R.; Tringale, S.; Taylor, J.O.; Freund, K.M.",Predictors of timely follow-up after abnormal cancer screening among women seeking care at urban community health centers,Cancer,116,4,913,921
"Fraynt, R.; Ross, L.; Baker, B.L.; Rystad, I.; Lee, J.; Briggs, E.C.","Predictors of Treatment Engagement in Ethnically Diverse, Urban Children Receiving Treatment for Trauma Exposure",Journal of Traumatic Stress,27,1,66,73
"Fouladbakhsh, J.M.; Stommel, M.; Given, B.A.; Given, C.W.",Predictors of use of complementary and alternative therapies among patients with cancer,Oncology Nursing Forum,32,6,1115,1122
"Weist, M.D.; Price, O.M.; Youngstrom, E.A.",Predictors of Violence Exposure among Inner-City Youth,Journal of Clinical Child and Adolescent Psychology,30,2,187,198
"Karunakaran, A.; Zhao, H.; Rubin, D.J.",Predischarge and Postdischarge Risk Factors for Hospital Readmission among Patients with Diabetes,Medical Care,56,7,634,642
"Parriott, A.M.; Brown, J.M.; Arah, O.A.",Predischarge postpartum methicillin resistant staphylococcus aureus infection and group b streptococcus carriage at the individual and hospital levels,Infectious Diseases in Obstetrics and Gynecology,,,,
"Shea, S.; Misra, D.; Ehrlich, M.H.; Field, L.; Francis, C.K.","Predisposing Factors for Severe, Uncontrolled Hypertension in an Inner-City Minority Population",New England Journal of Medicine,327,11,776,781
"McIntosh, K.H.; Moore, J.B.; Elci, O.C.",Predisposing factors related to adolescent sexuality among students in rural and urban school-based health centers in Eastern North Carolina,Journal of Public Health Management and Practice,15,3,E16,E22
"Pennington, E.L.; Barner, J.C.; Brown, C.M.; Moczygemba, L.R.; Patel, D.A.","Predisposing, Enabling, and Need Factors Associated with Postpartum Depression Treatment Among Women Enrolled in Texas Medicaid",Maternal and Child Health Journal,29,11,1621,1629
"Smith, P.B.; Phillips, L.E.; Faro, S.; McGill, L.; Wait, R.B.",Predominant sexually transmitted diseases among different age and ethnic group of indigent sexually active adolescents attending a family planning clinic,Journal of Adolescent Health Care,9,4,291,295
"Shah, Rishabh Urvesh",Pre-existing and Potential Particulate Patterns in Populous Places: Probing Pollution Parity for the Poor and the Prosperous,Dissertations & Theses,,,,
"Bekele, B.B.; Lian, M.; Schmaltz, C.; Greever-Rice, T.; Shrestha, P.; Liu, Y.",Preexisting Diabetes and Breast Cancer Treatment among Low-Income Women,JAMA Network Open,7,5,E249548,
"George, S.M.; Hamilton, A.; Baker, R.",Pre-experience perceptions about telemedicine among African Americans and latinos in south central Los Angeles,Telemedicine and e-Health,15,6,525,530
"Tookes, H.; Yao, K.; Chueng, T.; Butts, S.; Karsner, R.; Duque, M.; Cardenas, G.; Feaster, D.J.; Doblecki-Lewis, S.",Pre-exposure prophylaxis access in federally qualified health centers across 11 United States metropolitan statistical areas,International Journal of STD and AIDS,30,10,978,984
"Clement, M.E.; Nicchitta, M.; Sun, Y.; Ellis, A.; Chakraborty, H.; McGee, K.; Eagle, C.; Frye, J.; Taylor, D.; Okeke, N.L.; Johnston, B.; Seña, A.C.; McKellar, M.",Preexposure Prophylaxis Outcomes in an Urban Community in North Carolina: Discontinuation of Care and Sexually Transmitted Infections,Sexually Transmitted Diseases,48,3,183,188
"Kypriotakis, G.; Francis, L.E.; O'Toole, E.; Phillips, T.P.; Rose, J.H.",Preferences for aggressive care in underserved populations with advanced-stage lung cancer: Looking beyond race and resuscitation,Supportive Care in Cancer,22,5,1251,1259
"Greenberg, Michael; Lowrie, Karen; Burger, Joanna; Powers, Charles; Gochfeld, Michael; Mayer, Henry",Preferences for alternative risk management policies at the united states major nuclear weapons legacy sites,JOURNAL OF ENVIRONMENTAL PLANNING AND MANAGEMENT,50,2,187,209
"Bernstein, B.L.; Hofmann, B.; Wade, P.","Preferences for Counselor Gender: Students' Sex Role, Other Characteristics, and Type of Problem",Journal of Counseling Psychology,34,1,20,26
"Geng, F.; McGarry, B.E.; Rosenthal, M.B.; Zubizarreta, J.R.; Resch, S.C.; Grabowski, D.C.",Preferences for Postacute Care at Home vs Facilities,JAMA Health Forum,5,4,E240678,
"Kong, A.; Smart, M.; Asada, Y.; Limpoco, L.D.; Tang, C.; Lin, J.; Layden, B.T.","Preferences for receiving diabetes prevention support and factors influencing healthy eating and physical activity and among patients with prediabetes in Chicago, Illinois",Preventive Medicine Reports,54,,,
"Sarkar, U.; Piette, J.D.; Gonzales, R.; Lessler, D.; Chew, L.D.; Reilly, B.; Johnson, J.; Brunt, M.; Huang, J.; Regenstein, M.; Schillinger, D.",Preferences for self-management support: Findings from a survey of diabetes patients in safety-net health systems,Patient Education and Counseling,70,1,102,110
"O'Toole, T.P.; Gibbon, J.L.; Hanusa, B.H.; Fine, M.J.",Preferences for sites of care among urban homeless and housed poor adults,Journal of General Internal Medicine,14,10,599,605
"Gramelspacher, G.P.; Zhou, X.-H.; Hanna, M.P.; Tierney, W.M.",Preferences of physicians and their patients for end-of-life care,Journal of General Internal Medicine,12,6,346,351
"Wilson, C.M.; Hetrick, C.; Smith, R.J.; Larsosa, J.",Prefiguring Research-Practice Partnerships to Pursue Racial Justice in Education,AERA Open,11,,,
"Bekkar, B.; DeNicola, N.; Girma, B.; Potarazu, S.; Sheffield, P.",Pregnancy and newborn health - heat impacts and emerging solutions,Seminars in Perinatology,47,8,,
"Rahangdale, L.; Stewart, A.; Stewart, R.D.; Badell, M.; Levison, J.; Ellis, P.; Cohn, S.E.; Kempf, M.-C.; Lazenby, G.B.; Tandon, R.; Rana, A.; Nguyen, M.L.; Sturdevant, M.S.; Cohan, D.",Pregnancy Intentions Among Women Living With HIV in the United States,Journal of Acquired Immune Deficiency Syndromes (1999),65,3,306,311
"Yuan, V.; Dincheva, G.R.; Chen-Goodspeed, A.; Anderson, M.K.; Khariton, K.; Chao, S.Y.","Prehospital Assaults Against Asian Americans, Native Hawaiians, and Pacific Islanders During COVID-20",Journal of Surgical Research,299,,249,254
"Lee, H.; Bahler, R.; Chung, C.; Alonzo, A.; Zeller, R.A.",Prehospital delay with myocardial infarction: the interactive effect of clinical symptoms and race.,Applied Nursing Research,13,3,125,133
"Crowe, R.P.; Levine, R.; Bentley, M.A.",Prehospital Helicopter Air Ambulances Part 2: Utilization Criteria and Training,Air Medical Journal,34,6,337,342
"Swaroop, M.; Straus, D.C.; Agubuzu, O.; Esposito, T.J.; Schermer, C.R.; Crandall, M.L.",Pre-hospital transport times and survival for Hypotensive patients with penetrating thoracic trauma,"Journal of Emergencies, Trauma and Shock",6,1,16,20
"Ashburn, N.P.; Hendley, N.W.; Angi, R.M.; Starnes, A.B.; Nelson, R.D.; McGinnis, H.D.; Winslow, J.E.; Cline, D.M.; Hiestand, B.C.; Stopyra, J.P.",Prehospital trauma scene and transport times for pediatric and adult patients,Western Journal of Emergency Medicine,21,2,455,462
"Lo, J.C.; Sinaiko, A.; Chandra, M.; Daley, M.F.; Greenspan, L.C.; Parker, E.D.; Kharbanda, E.O.; Margolis, K.L.; Adams, K.; Prineas, R.; Magid, D.; O'Connor, P.J.",Prehypertension and hypertension in community-based pediatric practice,Pediatrics,131,2,e415,e424
"Phillips, V.L.; Pluznik, J.A.; Epting, M.E.; O’Donovan, E.M.; Akiyama, M.J.; Spaulding, A.C.",Pre-Incarceration Healthcare Use and Access Barriers among Men with HIV and those at-Risk for Contracting HIV: A Case Study of an Urban Jail,AIDS and Behavior,29,7,2107,2116
"Kolakowsky-Hayner, S.A.; Gourley, E.V.; Kreutzer, J.S.; Marwitz, J.H.; Cifu, D.X.; McKinley, W.O.",Pre-injury substance abuse among persons with brain injury and persons with spinal cord injury,Brain Injury,13,8,571,581
"MANLEY, RE","PREJUDICE, RACE, AND EDUCATIONAL ADVANCEMENT",URBAN LAWYER,6,2,414,420
"Kuhn, D.; Harrison, N.E.; Musey, P.I.; Crandall, D.J.; Pang, P.S.; Welch, J.L.; Harle, C.A.",Preliminary findings regarding the association between patient demographics and ED experience scores across a regional health system: A cross sectional study using natural language processing of patient comments,International Journal of Medical Informatics,195,,,
"Lichtenberg, P.A.; Ross, T.; Christensen, B.",Preliminary normative data on the Boston Naming Test for an older urban population,Clinical Neuropsychologist,8,1,109,111
"Sear, A.M.",Premarital pregnancy: a record linkage analysis,Social Biology,20,2,185,195
"Shiels, M.S.; Berrington de González, A.; Best, A.F.; Chen, Y.; Chernyavskiy, P.; Hartge, P.; Khan, S.Q.; Pérez-Stable, E.J.; Rodriquez, E.J.; Spillane, S.; Thomas, D.A.; Withrow, D.; Freedman, N.D.",Premature mortality from all causes and drug poisonings in the USA according to socioeconomic status and rurality: an analysis of death certificate data by county from 2000–16,The Lancet Public Health,4,2,e97,e106
"Mansfield, C.J.; Wilson, J.L.; Kobrinski, E.J.; Mitchell, J.","Premature mortality in the United States: The roles of geographic area, socioeconomic status, household type, and availability of medical care",American Journal of Public Health,89,6,893,898
"Nadeau, M.; Steele, J.S.; Lyon-Colbert, A.; Kelliher, A.; Barnett, J.; Begay, A.; Warne, D.","Premature mortality patterns among American Indians in North Dakota, 2010–2019 (pre-pandemic)",Frontiers in Public Health,13,,,
"Cassidy-Bushrow, A.E.; Burmeister, C.; Lamerato, L.; Lemke, L.D.; Mathieu, M.; O'Leary, B.F.; Sperone, F.G.; Straughen, J.K.; Reiners, J.J.","Prenatal airshed pollutants and preterm birth in an observational birth cohort study in Detroit, Michigan, USA",Environmental Research,189,,,
"Sood, B.; Delaney-Black, V.; Covington, C.; Nordstrom-Klee, B.; Ager, J.; Templin, T.; Janisse, J.J.; Martier, S.; Sokol, R.J.",Prenatal alcohol exposure and childhood behavior at age 6 to 7 years: I. dose-response effect.,Pediatrics,108,2,E34,
"Clarke, L.L.; Bono, C.A.; Miller, M.K.; Malone, S.C.",Prenatal care use in nonmetropolitan and metropolitan America: racial/ethnic differences.,Journal of Health Care for the Poor and Underserved,6,4,410,433
"Sokal, D.C.; Byrd, J.R.; Chen, A.T.L.; Goldberg, M.F.; Oakley, G.P.",Prenatal Chromosomal Diagnosis: Racial and Geographic Variation for Older Women in Georgia,JAMA,244,12,1355,1357
"Siffel, C.; Correa, A.; Cragan, J.; Alverson, C.J.","Prenatal diagnosis, pregnancy terminations and prevalence of down syndrome in Atlanta",Birth Defects Research Part A - Clinical and Molecular Teratology,70,9,565,571
"Yawn, B.P.; Thompson, L.R.; Lupo, V.R.; Googins, M.K.; Yawn, R.A.","Prenatal Drug Use in Minneapolis⁁St Paul, Minn: A 4-Year Trend",Archives of Family Medicine,3,6,520,527
"Just, A.C.; Whyatt, R.M.; Perzanowski, M.S.; Calafat, A.M.; Perera, F.P.; Goldstein, I.F.; Chen, Q.; Rundle, A.G.; Miller, R.L.",Prenatal exposure to butylbenzyl phthalate and early eczema in an urban cohort,Environmental Health Perspectives,120,10,1475,1480
"Brucato, M.; Ladd-Acosta, C.; Li, M.; Caruso, D.; Hong, X.; Kaczaniuk, J.; Stuart, E.A.; Fallin, M.D.; Wang, X.",Prenatal exposure to fever is associated with autism spectrum disorder in the boston birth cohort,Autism Research,10,11,1878,1890
"Furlong, M.A.; Engel, S.M.; Barr, D.B.; Wolff, M.S.",Prenatal exposure to organophosphate pesticides and reciprocal social behavior in childhood,Environment International,70,,125,131
"Starling, A.P.; Moore, B.F.; Thomas, D.S.K.; Peel, J.L.; Zhang, W.; Adgate, J.L.; Magzamen, S.; Martenies, S.E.; Allshouse, W.B.; Dabelea, D.",Prenatal exposure to traffic and ambient air pollution and infant weight and adiposity: The Healthy Start study,Environmental Research,182,,,
"Alexy, B.; Nichols, B.; Heverly, M.A.; Garzon, L.",Prenatal Factors and Birth Outcomes in the Public Health Service: A Rural/Urban Comparison,Research in Nursing and Health,20,1,61,70
"Chiu, Y.-H.M.; Carroll, K.N.; Coull, B.A.; Kannan, S.; Wilson, A.; Wright, R.J.","Prenatal Fine Particulate Matter, Maternal Micronutrient Antioxidant Intake, and Early Childhood Repeated Wheeze: Effect Modification by Race/Ethnicity and Sex",Antioxidants,11,2,,
"Hsu, H.H.L.; Chiu, Y.H.M.; Coull, B.A.; Kloog, I.; Schwartz, J.; Lee, A.; Wright, R.O.; Wright, R.J.",Prenatal particulate air pollution and asthma onset in urban children: Identifying sensitive windows and sex differences,American Journal of Respiratory and Critical Care Medicine,192,9,1052,1059
"Chiu, Y.H.M.; Hsu, H.H.L.; Coull, B.A.; Bellinger, D.C.; Kloog, I.; Schwartz, J.; Wright, R.O.; Wright, R.J.",Prenatal particulate air pollution and neurodevelopment in urban children: Examining sensitive windows and sex-specific associations,Environment International,87,,56,65
"Chiu, Y.H.; Hsu, H.H.; Wilson, A.; Coull, B.A.; Pendo, M.P.; Baccarelli, A.; Kloog, I.; Schwartz, J.D.; Wright, R.O.; Taveras, E.M.; Wright, R.J.",Prenatal particulate air pollution exposure and body composition in urban preschool children: Examining sensitive windows and sex-specific associations,Environmental Research,158,,798,805
"Thilen, S.R.; Treggiari, M.M.; Lange, J.M.; Lowy, E.; Weaver, E.M.; Wijeysundera, D.N.",Preoperative consultations for medicare patients undergoing cataract surgery,JAMA Internal Medicine,174,3,380,388
"Silva, A.; Saiyed, N.S.; Canty, E.; Benjamins, M.R.",Pre-pandemic trends and Black:White inequities in life expectancy across the 30 most populous U.S. cities: a population-based study,BMC Public Health,23,1,,
"Timmons, Crystal",Preparation for teaching in urban schools: Perceptions of the impact of traditional preparation programs,Dissertations & Theses,,,,
"Leahy, Cameron",Preparedness at the Margins: Disaster Resilience in an Unhoused Community,Dissertations & Theses,,,,
"Seider, S.; Graves, D.; El-Amin, A.; Clark, S.; Soutter, M.; Tamerat, J.; Jennett, P.; Gramigna, K.; Yung, J.; Kenslea, M.; Sklarwitz, S.","Preparing adolescents attending progressive and no-excuses urban charter schools to analyze, navigate, and challenge race and class inequality",Teachers College Record,118,12,1,54
"Diem, Sarah; Carpenter, Bradley W.; Lewis-Durham, Tiffanie",Preparing Antiracist School Leaders in a School Choice Context,URBAN EDUCATION,54,5,706,731
"Harushimana, I.",Preparing educators who save lives: what can US schools of education do?,Journal for Multicultural Education,16,3,225,236
"Johnson, T.; Lehner, E.",Preparing Paraprofessionals to Become Teachers: A Study Examining the Effect of Catalytic Interventions,International Journal of Educational Reform,30,4,300,323
"Andrulis, D.P.; Siddiqui, N.J.; Gantner, J.L.",Preparing racially and ethnically diverse communities for public health emergencies,Health Affairs,26,5,1269,1279
"Livstrom, I.; Roehrig, G.; Smith, A.; Rogers, M.",Preparing Undergraduate Students for Mentorship With Youth of Marginalized Identities: A Model for Food Systems Education,Frontiers in Sustainable Food Systems,6,,,
"Hebert, L.E.; Sarche, M.C.",Pre-pregnancy and Prenatal Alcohol use Among American Indian and Alaska Native and Non-Hispanic White Women: Findings from PRAMS in Five States,Maternal and Child Health Journal,25,9,1392,1401
"Murray Horwitz, M.E.; Prifti, C.A.; Battaglia, T.A.; Ajayi, A.T.; Edwards, C.V.; Benjamin, E.J.; Yarrington, C.D.; Parker, S.E.",Prepregnancy Cardiovascular Disease Risk Factors and Adverse Pregnancy Outcomes in a Safety-Net Hospital,Journal of Women's Health,32,4,401,408
"Cameron, N.A.; Molsberry, R.; Pierce, J.B.; Perak, A.M.; Grobman, W.A.; Allen, N.B.; Greenland, P.; Lloyd-Jones, D.M.; Khan, S.S.",Pre-Pregnancy Hypertension Among Women in Rural and Urban Areas of the United States,Journal of the American College of Cardiology,76,22,2611,2619
"Fishbein, H.D.; Imai, S.",Preschoolers select playmates on the basis of gender and race,Journal of Applied Developmental Psychology,14,3,303,316
"Thakur, T.; Barnet, J.H.; LeCaire, T.; Bersch, A.; Peppard, P.; Malecki, K.; Moberg, D.",Prescribed opioid use in Wisconsin 2008-2016: Findings from the survey of the health of Wisconsin,Wisconsin Medical Journal,119,2,102,109
"Syder, N.C.; Hurtado, A.C.M.; Saizan, A.; Gonzalez, M.; Rodman, J.; Elbuluk, N.",Prescribing patterns for treatment of acne vulgaris: A retrospective chart review at an urban public and private hospital,Archives of Dermatological Research,317,1,,
"Cipher, D.J.; Hooker, R.S.; Guerra, P.",Prescribing trends by nurse practitioners and physician assistants in the United States,Journal of the American Academy of Nurse Practitioners,18,6,291,296
"Wieder, R.; Delarosa, N.; Bryan, M.; Hill, A.M.; Amadio, W.J.",Prescription coverage in indigent patients affects the use of long-acting opioids in the management of cancer pain,Pain Medicine (United States),15,1,42,51
"Kelsey, M.D.; Ford, C.; Oakes, M.; Soneji, S.; Bosworth, H.B.; Pagidipati, N.J.",Prescription Fills Among Patients With Type 2 Diabetes After Hospitalization for Acute Coronary Syndrome,JAMA Network Open,7,11,e2447102,
"Betancur, JJ","Prescription for failure: Race relations in the age of social science - Roth,BM",ECONOMIC DEVELOPMENT QUARTERLY,11,3,268,278
"Cerdá, M.; Ransome, Y.; Keyes, K.M.; Koenen, K.C.; Tracy, M.; Tardiff, K.J.; Vlahov, D.; Galea, S.","Prescription opioid mortality trends in New York City, 1990-2006: Examining the emergence of an epidemic",Drug and Alcohol Dependence,132,2-Jan,53,62
"Thomsen, C.; Levitt, Z.; Gernon, C.; Spencer, P.",Presence and absence: Crisis pregnancy centers and abortion facilities in the contemporary reproductive justice landscape,Human Geography (United Kingdom),16,1,64,74
"McClure, M.; Miernyk, K.; Bruden, D.; Rudolph, K.; Hennessy, T.W.; Bruce, M.G.; Nolen, L.D.",Presence of Antibodies against Haemophilus influenzae Serotype a in Alaska before and after the Emergence of Invasive Infections,Journal of Infectious Diseases,223,2,326,332
"Bielenberg, J.E.; Futrell, M.; Stover, B.; Hagopian, A.",Presence of Any Medical Debt Associated With Two Additional Years of Homelessness in a Seattle Sample,Inquiry (United States),57,,,
"Zaccardelli, A.; Harb, J.L.; Papathanasiou, E.; Scott, A.R.","Presentation, Management, and Outcomes of Pathologic Scars Within a Pediatric Otolaryngology Practice",Laryngoscope,134,7,3127,3135
"Asokan, S.; Sridhar, P.; Qureshi, M.M.; Bhatt, M.; Truong, M.T.; Suzuki, K.; Mak, K.S.; Litle, V.R.","Presentation, Treatment, and Outcomes of Vulnerable Populations With Esophageal Cancer Treated at a Safety-Net Hospital",Seminars in Thoracic and Cardiovascular Surgery,32,2,347,354
"Blanks, J.; Abuabara, A.; Roberts, A.; Semien, J.",Preservation at the Intersections: Patterns of Disproportionate Multihazard Risk and Vulnerability in Louisiana's Historic African American Cemeteries,Environmental Justice,14,1,1,13
"Shamsuddin, S.",Preservation Planning: Redeveloping Public and Affordable Housing,Journal of Planning Education and Research,43,4,857,868
"Ryberg-Webster, Stephanie",Preservation within a Changing Racial Landscape,"PRESERVING THE VANISHING CITY: Historic Preservation amid Urban Decline in Cleveland, Ohio",,,130,152
"Gerrard, C.L.",Preservice Music Teachers’ Perceptions of Teaching Contexts,Journal of Music Teacher Education,34,3,65,83
"Milner, H.R.",Preservice teachers' learning about cultural and racial diversity: Implications for Urban education,Urban Education,41,4,343,375
"Kandakai, T.L.; King, K.A.",Preservice teachers’ beliefs regarding school violence prevention training,American Journal of Health Education,33,6,350,356
"Rudham, Gretchen Bourland","Preserving race and class: A critical ethnography of urban art museum docents, backstage and frontstage performances",Dissertations & Theses,,,,
"Howell, J.; Emerson, M.O.",Preserving racial hierarchy amidst changing racial demographics: how neighbourhood racial preferences are changing while maintaining segregation,Ethnic and Racial Studies,41,15,2770,2789
"Atkeson, L.R.; Krebs, T.B.",Press coverage of mayoral candidates: The role of gender in news reporting and campaign issue speech,Political Research Quarterly,61,2,239,252
"Collins, J.W.; David, R.J.; Simon, D.M.; Prachand, N.G.",Preterm birth among African American and white women with a lifelong residence in high-income Chicago neighborhoods: An exploratory study,Ethnicity and Disease,17,1,113,117
"Cook, S.C.","Pretty like the girl: Gender, race and Oklahoma!",Contemporary Theatre Review,19,1,35,47
"Leng, X.; Xia, J.; Zeng, X.; Song, Y.",Prevalence and Associated Factors of Lupus in the United States: Third National Health and Nutritional Examination Survey (NHANES III),Frontiers in Medicine,7,,,
"Aponte-Meléndez, Y.; Eckhardt, B.; Fong, C.; Padilla, A.; Trinidad-Martínez, W.; Maldonado-Rodríguez, E.; Agront, N.; Mateu-Gelabert, P.",Prevalence and associated risk factors of hepatitis C antibody and RNA among people who inject drugs in Puerto Rico,Journal of Substance Use and Addiction Treatment,160,,,
"Arshad, S.; Ferrick, N.J.; Monrad, E.S.; Fisher, J.D.; Krumerman, A.; Ferrick, K.J.",Prevalence and association of the Wellens' sign with coronary artery disease in an ethnically diverse urban population,Journal of Electrocardiology,62,,211,215
"Fischer, S.H.; Ray, K.N.; Mehrotra, A.; Bloom, E.L.; Uscher-Pines, L.",Prevalence and Characteristics of Telehealth Utilization in the United States,JAMA Network Open,3,10,E2022302,
"Walter, H.J.; Vaughan, R.D.; Ragin, D.F.; Cohall, A.T.; Kasen, S.",Prevalence and correlates of AIDS-related behavioral intentions among urban minority high school students,AIDS Education and Prevention,6,4,339,350
"Walter, H.J.; Vaughan, R.D.; Ragin, D.F.; Cohall, A.T.; Kasen, S.; Fullilove, R.E.",Prevalence and correlates of AIDS-risk behaviors among urban minority high school students,Preventive Medicine,22,6,813,824
"Merrill, B.M.; Morrow, A.S.; Sarver, D.; Sandridge, S.; Lim, C.S.","Prevalence and Correlates of Attention-Deficit Hyperactivity Disorder in a Diverse, Treatment-Seeking Pediatric Overweight/Obesity Sample",Journal of Developmental and Behavioral Pediatrics,42,6,433,441
"Loh, K.; Walton, M.A.; Harrison, S.R.; Zimmerman, M.A.; Stanley, R.; Chermack, S.T.; Cunningham, R.M.",Prevalence and correlates of handgun access among adolescents seeking care in an urban emergency department,Accident Analysis and Prevention,42,2,347,353
"Chor, J.; Hebert, L.E.; Hasselbacher, L.A.; Whitaker, A.K.",Prevalence and Correlates of Having a Regular Physician among Women Presenting for Induced Abortion,Women's Health Issues,26,5,517,522
"Siegel, D.; Golden, E.; Washington, A.E.; Morse, S.; Fullilove, M.T.; Catania, J.A.; Marín, B.; Hulley, S.B.",Prevalence and Correlates of Herpes Simplex Infections: The Population-Based AIDS in Multiethnic Neighborhoods Study,JAMA,268,13,1702,1708
"Attoh-Okine, N.-D.; Corbeil, T.; Poku, O.; Kluisza, L.; Liotta, L.; Morrison, C.; Dolezal, C.; Robbins, R.N.; Kreniske, P.; Abrams, E.J.; Wiznia, A.; Mellins, C.A.",Prevalence and Correlates of Intimate Partner Violence Victimization among Urban Adolescents and Young Adults Living with Perinatally-Acquired HIV Infection or Perinatal HIV Exposure,Journal of Acquired Immune Deficiency Syndromes (1999),95,2,107,116
"Perlis, R.H.; Uslu, A.; Schulman, J.; Himelfarb, A.; Gunning-Dixon, F.M.; Solomonov, N.; Santillana, M.; Baum, M.A.; Druckman, J.N.; Ognyanova, K.; Lazer, D.",Prevalence and correlates of irritability among U.S. adults,Neuropsychopharmacology,49,13,2052,2059
"Arif, A.A.; Borders, T.F.; Patterson, P.J.; Rohrer, J.E.; Xu, K.T.",Prevalence and correlates of paediatric asthma and wheezing in a largely rural USA population,Journal of Paediatrics and Child Health,40,4,189,194
"Price, S.K.",Prevalence and correlates of pregnancy loss history in a national sample of children and families,Maternal and Child Health Journal,10,6,489,500
